p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.2120413929611996e-48,-0.47314969221519665,0.416,0.65,3.0924024100012047e-44,cocultWTMacFib,Scarb2
1.4776763443631985e-48,-0.549989890968247,0.225,0.466,3.7701434250082647e-44,cocultWTMacFib,Dck
2.3143617489363158e-48,0.6626065876287419,0.213,0.082,5.904862566236116e-44,cocultWTMacFib,Csta2
2.926040966669112e-48,-0.5108115281255914,0.354,0.592,7.465500922359572e-44,cocultWTMacFib,Ncoa4
4.067361163499708e-48,-0.3897776849457255,0.697,0.869,1.0377465272553155e-43,cocultWTMacFib,Hnrnpk
5.997933697732065e-48,0.43773292550663534,0.194,0.071,1.530312803639359e-43,cocultWTMacFib,Ltb4r1
6.3956897020577e-48,-0.42715871502448743,0.327,0.569,1.6317962705830015e-43,cocultWTMacFib,Cdc42se2
6.498513962724139e-48,-0.4483801894620285,0.355,0.606,1.6580308524494366e-43,cocultWTMacFib,Celf1
6.923767235752809e-48,-0.44588448504699896,0.809,0.907,1.7665299725299716e-43,cocultWTMacFib,Arpc5
7.446670670925908e-48,-0.3948868372343759,0.306,0.564,1.8999435549800362e-43,cocultWTMacFib,Hpcal1
8.762672352551441e-48,-0.4418211254979605,0.385,0.625,2.2357082240299746e-43,cocultWTMacFib,Sdha
1.0650817676264004e-47,-0.43330193922816235,0.146,0.372,2.717449621921998e-43,cocultWTMacFib,Plekhm1
1.1658434479665238e-47,-0.4651541764057262,0.306,0.547,2.9745329731417887e-43,cocultWTMacFib,Znrf2
1.2302024362768517e-47,-0.5325246342789911,0.418,0.633,3.1387384959167593e-43,cocultWTMacFib,Idh1
1.3100115939253878e-47,-0.4763742878023218,0.428,0.664,3.3423635807412344e-43,cocultWTMacFib,Rpn1
1.7494179918237095e-47,-0.46552430049499993,0.36,0.605,4.463465064339013e-43,cocultWTMacFib,Epsti1
1.9431324951750748e-47,0.4886467707532236,0.645,0.477,4.957708248189686e-43,cocultWTMacFib,Nupr1
2.578272356186818e-47,0.5030715239521915,0.723,0.606,6.578204089575047e-43,cocultWTMacFib,Ssr4
2.964659257899517e-47,-0.40625274154833085,0.176,0.416,7.564031630604828e-43,cocultWTMacFib,Ptk2b
3.9431638902393583e-47,-0.4481331103892025,0.198,0.432,1.00605883495567e-42,cocultWTMacFib,Plxnc1
5.587025992735758e-47,1.366858822928634,0.329,0.166,1.4254738117866012e-42,cocultWTMacFib,Ccl8
5.593881589112168e-47,-0.45400518038410365,0.39,0.633,1.4272229486460785e-42,cocultWTMacFib,Syngr2
5.720819142547258e-47,-0.45937346661047185,0.825,0.913,1.4596097960295074e-42,cocultWTMacFib,Lcp1
8.347820644263697e-47,-0.62630875023694,0.789,0.895,2.1298629591774397e-42,cocultWTMacFib,Gpnmb
8.737152486752459e-47,-0.4537583819519242,0.418,0.646,2.2291970854700223e-42,cocultWTMacFib,Dync1h1
1.6242315787410593e-46,-0.4710505070011821,0.338,0.577,4.1440644499999384e-42,cocultWTMacFib,Dnase2a
1.6793707209360997e-46,0.46881209221600934,0.348,0.183,4.2847464573963645e-42,cocultWTMacFib,Socs3
2.3170668145898418e-46,-0.5841987626690028,0.48,0.693,5.911764270744522e-42,cocultWTMacFib,Clec4a3
2.475441681740874e-46,0.30796632725837014,0.984,0.98,6.315841906793665e-42,cocultWTMacFib,Rpl9
2.9836511807234183e-46,0.3464415368014581,0.148,0.047,7.61248762249773e-42,cocultWTMacFib,Gja1
3.1331248942022542e-46,-0.4321054779384551,0.263,0.506,7.993854855067631e-42,cocultWTMacFib,Tfe3
3.745864782221878e-46,-0.42435691227321354,0.186,0.424,9.557199405360901e-42,cocultWTMacFib,Slc37a2
4.2099560189659775e-46,0.43346719936526257,0.842,0.742,1.0741281786789795e-41,cocultWTMacFib,Atp5d
5.03736107892731e-46,0.4261816246693091,0.863,0.826,1.2852323056775139e-41,cocultWTMacFib,Tbca
5.391678256061399e-46,-0.41240252600636773,0.408,0.655,1.3756327902515053e-41,cocultWTMacFib,Ilrun
