"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.97971379735662e-41,0.355248752621661,0.994,0.957,5.59590251143574e-37,"Fib_CD34-","Sf3b6"
2.56909112562443e-37,0.354883320344124,0.585,0.234,4.82475313392269e-33,"Fib_CD34-","Serpinb1a"
3.15326150215387e-38,0.353516679467122,0.868,0.518,5.92182510104497e-34,"Fib_CD34-","Bet1l"
1.29032900951208e-25,0.35296425035058,0.978,0.906,2.42323787986368e-21,"Fib_CD34-","P4hb"
2.01388833085447e-55,0.352140894943671,0.463,0.09,3.78208228534469e-51,"Fib_CD34-","Ccnd1"
6.4655328713467e-40,0.352036627658763,0.988,0.957,1.21422707323891e-35,"Fib_CD34-","Rab18"
7.41482530759142e-41,0.351681213950115,0.798,0.429,1.39250419276567e-36,"Fib_CD34-","Bckdk"
1.15153910192684e-37,0.35163543464509,0.886,0.572,2.1625904334186e-33,"Fib_CD34-","Bub3"
1.44640227173541e-52,0.351460901231722,0.999,0.997,2.7163434663191e-48,"Fib_CD34-","Cox7c"
2.8858153038516e-39,0.35144770238041,0.422,0.114,5.4195611406333e-35,"Fib_CD34-","Crip1"
5.07597685953409e-34,0.350901881910991,0.86,0.576,9.53268454220503e-30,"Fib_CD34-","Knop1"
1.50240094252413e-43,0.350873735621934,0.996,0.969,2.82150897006032e-39,"Fib_CD34-","Tomm22"
9.55425238049278e-34,0.350082224422464,0.92,0.731,1.79428859705654e-29,"Fib_CD34-","Yipf5"
6.62442869094353e-39,0.34988832683103,0.996,0.95,1.2440677081592e-34,"Fib_CD34-","Spcs2"
5.76399517840836e-37,0.34974200119889,0.997,0.97,1.08247829450509e-32,"Fib_CD34-","Cox14"
1.13458797318978e-76,0.349594747632455,0.454,0.035,2.1307562136504e-72,"Fib_CD34-","Gm7967"
