Gene_Symbol,GeneID,Control,Yap KO,YapTg Dox-,YapTg Dox+,Combined fold change,Fold_log2
Sema7a,ENSMUSG00000038264,12.83913311,17.41977275,24.98936141,6.751673695,5.02169691,2.328174956
Gm609,ENSMUSG00000053182,1.404046391,1.787241872,2.688361071,0.681781112,5.019315623,2.327490668
Lfng,ENSMUSG00000029570,2.555692203,4.109240096,4.905413488,1.571925505,5.017606848,2.326999434
Vwa5b2,ENSMUSG00000046613,0.652332011,0.921131632,0.870545055,0.245803543,5.000991544,2.322214166
Il17rd,ENSMUSG00000040717,0.487000642,0.646334766,0.813725256,0.216062709,4.998341925,2.321449596
Gltpd2,ENSMUSG00000046811,2.629201779,2.234537667,1.281113893,0.218514498,4.982774652,2.316949329
Psmb8,ENSMUSG00000024338,5.946480356,12.15924041,16.44997527,6.767767432,4.970113196,2.31327871
Apoa4,ENSMUSG00000032080,822.1331934,920.0443479,353.3421222,79.59696999,4.967815474,2.312611587
Slc14a1,ENSMUSG00000059336,2.457995756,2.931297081,2.022148834,0.485534292,4.966745601,2.312300853
Lcp1,ENSMUSG00000021998,4.434145347,5.892035202,3.870701688,1.03584701,4.96534573,2.311894174
Agmo,ENSMUSG00000050103,8.292902143,9.628040087,7.596429878,1.783539872,4.944906221,2.305943161
Oat,ENSMUSG00000030934,479.9454504,688.2832255,470.8925242,136.7716213,4.937431765,2.30376081
Slc2a9,ENSMUSG00000005107,2.996298606,3.108616156,2.946579958,0.619458295,4.935011457,2.303053434
Palm,ENSMUSG00000035863,0.543363209,0.891279026,0.512086567,0.170393501,4.929624222,2.301477676
Noxa1,ENSMUSG00000036805,5.203692175,5.516077389,11.38200483,2.456659719,4.911255332,2.296091829
Slc39a5,ENSMUSG00000039878,72.94911834,92.29439669,66.4213146,17.18885461,4.888952486,2.289525384
Lrat,ENSMUSG00000028003,2.409612533,2.845293988,2.857229083,0.690229762,4.888001305,2.28924467
Asah2,ENSMUSG00000024887,36.74264778,47.11872712,13.67513834,3.59808717,4.873973324,2.285098355
Aqp1,ENSMUSG00000004655,19.96713871,23.87402367,33.33557418,8.182806491,4.87096988,2.284209062
Sidt1,ENSMUSG00000022696,0.87473409,0.955953422,1.116103065,0.250450336,4.870161489,2.283969611
Cyp2b9,ENSMUSG00000040660,5.568507354,7.89901379,4.849336389,1.415629354,4.859222957,2.280725629
Ccl6,ENSMUSG00000018927,29.8092844,45.86525904,46.07173085,14.59574591,4.856691685,2.279973903
Apoc3,ENSMUSG00000032081,33.71250201,36.88932144,17.316588,3.904470497,4.85299518,2.278875427
Kcnk16,ENSMUSG00000023387,0.639509805,1.058412856,0.354456085,0.120916328,4.851604444,2.278461931
Cplx2,ENSMUSG00000025867,0.809665672,1.145408917,0.813372615,0.237388827,4.84712372,2.277128907
Fam151a,ENSMUSG00000034871,14.798641,22.50047922,16.67661768,5.278346677,4.803745545,2.264159733
Gpt,ENSMUSG00000022546,24.77078807,30.55520124,23.53005231,6.053195331,4.794943884,2.261513931
Spink4,ENSMUSG00000028415,564.8174984,772.2998861,555.4363479,158.3976324,4.794722078,2.261447193
Bambi,ENSMUSG00000024232,0.540240659,0.931751317,0.759488472,0.274148983,4.778012658,2.256410676
