,batch,replicate,condition,culture,format,cell-type,media,W,E,N,R,genotype,A,K,P
171,B3,1,A_WER_Org_1,A_WER,monoculture,Org,WER,1,1,0,1,A,1,0,0
172,B3,2,A_WER_Org_2,A_WER,monoculture,Org,WER,1,1,0,1,A,1,0,0
173,B3,3,A_WER_Org_3,A_WER,monoculture,Org,WER,1,1,0,1,A,1,0,0
174,B3,1,A_WNR_Org_1,A_WNR,monoculture,Org,WNR,1,0,1,1,A,1,0,0
175,B3,2,A_WNR_Org_2,A_WNR,monoculture,Org,WNR,1,0,1,1,A,1,0,0
176,B3,3,A_WNR_Org_3,A_WNR,monoculture,Org,WNR,1,0,1,1,A,1,0,0
177,B3,1,A_W_Org_1,A_W,monoculture,Org,W,1,0,0,0,A,1,0,0
178,B3,2,A_W_Org_2,A_W,monoculture,Org,W,1,0,0,0,A,1,0,0
179,B3,3,A_W_Org_3,A_W,monoculture,Org,W,1,0,0,0,A,1,0,0
180,B1,1,K-Fib_Ctrl_Org_1,K-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,K,0,1,0
181,B1,2,K-Fib_Ctrl_Org_2,K-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,K,0,1,0
182,B1,3,K-Fib_Ctrl_Org_3,K-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,K,0,1,0
183,B1,1,K-Fib_ENR_Org_1,K-Fib_ENR,co-culture,Org,ENR,0,1,1,1,K,0,1,0
184,B1,2,K-Fib_ENR_Org_2,K-Fib_ENR,co-culture,Org,ENR,0,1,1,1,K,0,1,0
185,B1,3,K-Fib_ENR_Org_3,K-Fib_ENR,co-culture,Org,ENR,0,1,1,1,K,0,1,0
186,B1,1,K-Fib_E_Org_1,K-Fib_E,co-culture,Org,E,0,1,0,0,K,0,1,0
187,B1,2,K-Fib_E_Org_2,K-Fib_E,co-culture,Org,E,0,1,0,0,K,0,1,0
188,B1,3,K-Fib_E_Org_3,K-Fib_E,co-culture,Org,E,0,1,0,0,K,0,1,0
189,B1,1,K-Fib_N_Org_1,K-Fib_N,co-culture,Org,N,0,0,1,0,K,0,1,0
190,B1,2,K-Fib_N_Org_2,K-Fib_N,co-culture,Org,N,0,0,1,0,K,0,1,0
191,B1,3,K-Fib_N_Org_3,K-Fib_N,co-culture,Org,N,0,0,1,0,K,0,1,0
192,B1,1,K-Fib_R_Org_1,K-Fib_R,co-culture,Org,R,0,0,0,1,K,0,1,0
193,B1,2,K-Fib_R_Org_2,K-Fib_R,co-culture,Org,R,0,0,0,1,K,0,1,0
194,B1,3,K-Fib_R_Org_3,K-Fib_R,co-culture,Org,R,0,0,0,1,K,0,1,0
195,B1,1,K-Fib_WENR_Org_1,K-Fib_WENR,co-culture,Org,WENR,1,1,1,1,K,0,1,0
196,B1,2,K-Fib_WENR_Org_2,K-Fib_WENR,co-culture,Org,WENR,1,1,1,1,K,0,1,0
197,B1,3,K-Fib_WENR_Org_3,K-Fib_WENR,co-culture,Org,WENR,1,1,1,1,K,0,1,0
198,B1,1,K-Fib_WEN_Org_1,K-Fib_WEN,co-culture,Org,WEN,1,1,1,0,K,0,1,0
199,B1,2,K-Fib_WEN_Org_2,K-Fib_WEN,co-culture,Org,WEN,1,1,1,0,K,0,1,0
200,B1,3,K-Fib_WEN_Org_3,K-Fib_WEN,co-culture,Org,WEN,1,1,1,0,K,0,1,0
201,B1,1,K-Fib_WER_Org_1,K-Fib_WER,co-culture,Org,WER,1,1,0,1,K,0,1,0
202,B1,2,K-Fib_WER_Org_2,K-Fib_WER,co-culture,Org,WER,1,1,0,1,K,0,1,0
203,B1,3,K-Fib_WER_Org_3,K-Fib_WER,co-culture,Org,WER,1,1,0,1,K,0,1,0
204,B1,1,K-Fib_WNR_Org_1,K-Fib_WNR,co-culture,Org,WNR,1,0,1,1,K,0,1,0
205,B1,2,K-Fib_WNR_Org_2,K-Fib_WNR,co-culture,Org,WNR,1,0,1,1,K,0,1,0
206,B1,3,K-Fib_WNR_Org_3,K-Fib_WNR,co-culture,Org,WNR,1,0,1,1,K,0,1,0
207,B1,1,K-Fib_W_Org_1,K-Fib_W,co-culture,Org,W,1,0,0,0,K,0,1,0
208,B1,2,K-Fib_W_Org_2,K-Fib_W,co-culture,Org,W,1,0,0,0,K,0,1,0
209,B1,3,K-Fib_W_Org_3,K-Fib_W,co-culture,Org,W,1,0,0,0,K,0,1,0
210,B1,1,KP-Fib_Ctrl_Org_1,KP-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,KP,0,1,1
211,B1,2,KP-Fib_Ctrl_Org_2,KP-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,KP,0,1,1
212,B1,3,KP-Fib_Ctrl_Org_3,KP-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,KP,0,1,1
213,B1,1,KP-Fib_ENR_Org_1,KP-Fib_ENR,co-culture,Org,ENR,0,1,1,1,KP,0,1,1
214,B1,2,KP-Fib_ENR_Org_2,KP-Fib_ENR,co-culture,Org,ENR,0,1,1,1,KP,0,1,1
215,B1,3,KP-Fib_ENR_Org_3,KP-Fib_ENR,co-culture,Org,ENR,0,1,1,1,KP,0,1,1
216,B1,1,KP-Fib_E_Org_1,KP-Fib_E,co-culture,Org,E,0,1,0,0,KP,0,1,1
217,B1,2,KP-Fib_E_Org_2,KP-Fib_E,co-culture,Org,E,0,1,0,0,KP,0,1,1
218,B1,3,KP-Fib_E_Org_3,KP-Fib_E,co-culture,Org,E,0,1,0,0,KP,0,1,1
219,B1,1,KP-Fib_N_Org_1,KP-Fib_N,co-culture,Org,N,0,0,1,0,KP,0,1,1
220,B1,2,KP-Fib_N_Org_2,KP-Fib_N,co-culture,Org,N,0,0,1,0,KP,0,1,1
