ident,gene,coefD,pvalD,padjD,coefC,pvalC,padjC,mastfc,alpha,ref_alpha,mu,ref_mu,mean,ref_mean,log2fc,spec_h,spec_d
Microvascular,ITGA6,2.023732328,4.7779E-35,2.11954E-33,0.752542642,1.18159E-20,1.54366E-18,0.214570102,0.42364532,0.112350598,2.194973185,1.018368399,0.955903498,-2.135532518,3.091436016,TRUE,TRUE
Microvascular,SCARB1,1.962585327,2.39732E-22,6.03141E-21,0.720857845,1.32666E-13,1.01568E-11,0.220723328,0.224137931,0.046480744,1.847127553,0.825393558,-0.310408943,-3.601771959,3.291363016,TRUE,FALSE
Microvascular,PGS1,1.945031308,5.97725E-26,1.80331E-24,0.401371889,1.42523E-05,0.000262552,0.314389354,0.251231527,0.046746348,1.754277527,1.364716505,-0.238628658,-3.054246682,2.815618024,TRUE,FALSE
Microvascular,MICALL1,1.645132302,5.55409E-07,4.16927E-06,0.876716288,2.99073E-05,0.000491212,0.067080591,0.0591133,0.014209827,2.038574918,0.770730421,-2.041779249,-5.366034722,3.324255473,TRUE,FALSE
Microvascular,TP53I11,1.464727097,8.98389E-18,1.78425E-16,0.551376026,8.50174E-11,4.60322E-09,0.163317646,0.295566502,0.095219124,1.952928196,1.165927009,0.194485933,-2.22665679,2.421142723,TRUE,FALSE
Microvascular,SETD4,1.388831727,1.57897E-11,1.99508E-10,0.549048211,4.49801E-07,1.25592E-05,0.16999332,0.172413793,0.047410359,1.846863629,1.17790155,-0.689182642,-3.220708211,2.531525569,TRUE,FALSE
Microvascular,MPV17L2,0.998850356,0.000133019,0.000655881,0.361990539,0.013508176,0.065583507,0.063408106,0.093596059,0.038379814,1.785381539,0.959325502,-1.632012906,-3.74411894,2.112106034,FALSE,TRUE
Myofibroblasts,ACTA2,6.852710036,1.0774E-258,1.4462E-254,3.42492105,1.2135E-118,3.2576E-115,6.872108933,0.985074627,0.073306773,6.751077595,3.936959119,6.729382524,0.167053257,6.562329267,TRUE,FALSE
Myofibroblasts,ACTG2,6.631177198,2.2331E-247,9.9916E-244,2.276950922,1.74941E-09,2.95747E-08,4.49267181,0.830845771,0.010491368,5.480612981,3.328128664,5.213265603,-3.24648115,8.459746753,TRUE,TRUE
Myofibroblasts,CNN1,6.587710238,9.0294E-125,8.6573E-122,0.642823575,0.505201718,0.695448945,1.457523404,0.447761194,0.00438247,3.851869764,2.076946066,2.692671566,-5.756844068,8.449515634,TRUE,TRUE
Myofibroblasts,MYH11,6.425011653,5.23E-174,8.7754E-171,0.902615021,0.016440103,0.038721795,2.165456467,0.605306799,0.003585657,3.995172853,2.573740772,3.270911505,-5.549589248,8.820500753,TRUE,TRUE
