CD81+PDGFRAlow,ACKR4+fibroblast,CD81-PDGFRAlow,Telocyte,small intestine arteriole,small intestine capillary,small intestine vein,small intestine lymphatic,colon capillary arterial,colon capillary,colon vein,colon lymphatic
,,,,CABIN1,AMMECR1L,HSPA13,RPN1,LGALSL,LEMD2,GM5127,RSPO3
,,,,KDM5C,MAP3K14,ADAMTS4,EFNB3,IRGQ,FEN1,ALKBH7,NFIA
,,,,CCDC102A,NOM1,NUDT18,OAF,CLCN6,SMARCAL1,AI662270,SNED1
,,,,ARRDC1,RNF113A2,TMEM181A,CYSTM1,FBXO42,D10WSU102E,LNCPINT,CTDSPL
,,,,ZDHHC21,HTATIP2,UTY,GM1673,PGGT1B,WDR70,PLEKHB2,FGFR1
,,,,TANGO2,IPO7,GMPPB,BC005537,ZBTB40,FBXO25,TFE3,TGFB2
,,,,AGPS,BRAF,ERLEC1,B4GALT5,COG3,ABCB8,NR4A1,ITGA9
,,,,ORC6,LAMA5,ZFP329,ACTB,5430416N02RIK,UTP6,NSMF,RGS7BP
,,,,DNAJC13,DCAF12,UBE2H,TBC1D4,IDUA,MRE11A,NCOR2,HSD11B1
,,,,ZZZ3,IWS1,DDX3X,FRMD6,HBA-A1,ATR,PPP1R16A,TUBB6
,,,,TARS,PANK4,PIK3C2A,ACOT7,MOGS,QTRT1,DNAJB5,RALGPS2
,,,,DNAJA3,POLB,TMEM161A,SERPINB6B,FAM8A1,CDKN2AIPNL,CTGF,BTNL9
,,,,PRORSD1,ATXN1L,PARP4,PARP14,TSTD2,CSTF3,IP6K2,DENND2A
,,,,DNAJC11,ADGRA3,DGCR6,CYP20A1,MSL2,VHL,TNRC6B,MOSPD2
,,,,GNL3,NMRK1,TES,NCOR2,OPHN1,HIST1H4C,FBXW5,SRD5A3
,,,,INAFM1,CENPA,GM12355,ADGRA2,RAB26OS,MKL1,ARMC10,LUC7L2
,,,,LARP1B,AQR,R3HDM1,TIA1,DFFB,BRWD3,EXD2,NCF2
,,,,FAM210B,A630072M18RIK,SUCLG2,DENND4A,MIOS,LIG4,EPB41L4AOS,KCNJ8
,,,,RRS1,NSF,ADAMTS10,RMND5B,CLEC16A,MTRF1,INPP5D,FRMD6
,,,,CTDSPL2,MKLN1,TARDBP,NR3C2,WDR5,SIAH1B,NAIP2,SERPINB6B
,,,,IQSEC2,GOSR1,REV3L,CH25H,NOL10,LETMD1,ZFP511,4833422C13RIK
,,,,UBE3B,KAT7,RBP2,GM2A,ERCC2,ACSF3,NCOA3,PLAUR
,,,,VPS41,DPCD,POLR1C,DAAM1,C2CD5,EXO5,PIP4K2B,TWSG1
,,,,TMEM68,MVB12B,RPAP3,LHFP,PIK3CA,ST3GAL3,NDN,RNF141
,,,,BOD1,CNTLN,DESI1,ASPH,TRIM14,RAP1GDS1,NRDE2,ENPP3
