replicate,162Dy_LRIG1_1,174Yb_Clusterin_1,pro_vs_rev,pro_vs_rev_log2,genotype,culture,ligand,inhibitor
2,2.7892356625542245,3.301878299276501,0.9762973286339522,-0.261870961676017,A,A_WNT3A-PF573228,WNT3A,PF573228
3,2.9073205972239755,3.3079072568356365,1.006552277550353,-0.2086681620108772,A,A_WNT3A-PF573228,WNT3A,PF573228
1,3.0216185082136047,2.8051219223333095,1.3408640922284196,0.17422493597849198,A,A_WNT3A-SIS3,WNT3A,SIS3
2,2.9987017431810408,3.065274800525282,1.203131750281476,0.013622642076951772,A,A_WNT3A-SIS3,WNT3A,SIS3
3,3.088062161179719,2.9602935902625744,1.2484631778617787,0.09771978883638904,A,A_WNT3A-SIS3,WNT3A,SIS3
1,2.5255273752568206,2.9067977890145573,1.0955623688946488,-0.19126712796492895,A,A_WNT3A-Trametinib,WNT3A,Trametinib
2,2.3115758160992574,2.7507522168480687,1.1888748460291432,-0.2088695644516467,A,A_WNT3A-Trametinib,WNT3A,Trametinib
3,2.331424949704597,2.776934700432925,1.2509799816098035,-0.19063148797661778,A,A_WNT3A-Trametinib,WNT3A,Trametinib
1,1.866804340407781,1.4201536504151107,2.321995252373925,0.5523302768914009,K,K_Ctrl-CA3,Ctrl,CA3
2,1.8941638794699012,1.4950162354765313,2.3825562846862165,0.5211478167272237,K,K_Ctrl-CA3,Ctrl,CA3
3,1.8909428007229394,1.427408279683202,2.3578764218967496,0.5885698579098356,K,K_Ctrl-CA3,Ctrl,CA3
1,2.564544206757578,1.343040485712334,3.4932730495079927,1.1881857080168452,K,K_Ctrl-CHIR99021,Ctrl,CHIR99021
2,2.716513231326887,1.3759627752145545,3.541401843514258,1.2003036840178494,K,K_Ctrl-CHIR99021,Ctrl,CHIR99021
3,2.7377950289839363,1.4106016656172453,3.4550301479784524,1.1865578299492647,K,K_Ctrl-CHIR99021,Ctrl,CHIR99021
1,2.39811351587121,1.5530113946191013,2.7189753333024873,0.8285207277209381,K,K_Ctrl-Ctrl,Ctrl,Ctrl
2,2.370640988282463,1.5649953157610865,2.625530723098532,0.790789594708475,K,K_Ctrl-Ctrl,Ctrl,Ctrl
3,2.288277512000043,1.4954390749520154,2.6789375713125954,0.8097385405901235,K,K_Ctrl-Ctrl,Ctrl,Ctrl
1,1.8719213464370965,1.269816948056174,2.374851347571493,0.6880922127896737,K,K_Ctrl-Dasatinib,Ctrl,Dasatinib
2,1.8548136247769176,1.2316045709226275,2.5453040943026437,0.7327705848907986,K,K_Ctrl-Dasatinib,Ctrl,Dasatinib
3,1.9532878213635108,1.447426183784317,2.2351322615947837,0.573091433319419,K,K_Ctrl-Dasatinib,Ctrl,Dasatinib
1,1.994333446352078,1.9214906352819006,1.6544187910360413,0.16040449500491702,K,K_Ctrl-GDC0941,Ctrl,GDC0941
2,1.9107909699763466,1.9178350771577553,1.6695594025407978,0.1115706336988498,K,K_Ctrl-GDC0941,Ctrl,GDC0941
3,1.8707799589916945,1.9511853213052486,1.587510566038702,0.04945181165696572,K,K_Ctrl-GDC0941,Ctrl,GDC0941
1,2.4236474111359687,1.620126050224107,2.522312488356182,0.751489663311075,K,K_Ctrl-ICG001,Ctrl,ICG001
2,2.2177460221795102,1.5360663736454676,2.4686759095356043,0.6997491646681268,K,K_Ctrl-ICG001,Ctrl,ICG001
3,2.247363202882998,1.533179498690992,2.522439660585858,0.7079241033221927,K,K_Ctrl-ICG001,Ctrl,ICG001
1,1.9319849912431815,1.7095240264065106,2.010611846541181,0.3010381725563253,K,K_Ctrl-PF573228,Ctrl,PF573228
2,1.9709782253427897,1.8179215077853794,1.7778901084910625,0.21526491635672745,K,K_Ctrl-PF573228,Ctrl,PF573228
3,1.9565536241416583,1.7263893803130244,1.8990779384838263,0.2806815589553704,K,K_Ctrl-PF573228,Ctrl,PF573228
1,2.4223033906729907,1.555931232760967,2.6854253374341823,0.8386978400141875,K,K_Ctrl-SIS3,Ctrl,SIS3
2,2.572012475611145,1.547422458340208,2.7915019249184962,0.8895053636712033,K,K_Ctrl-SIS3,Ctrl,SIS3
3,2.4608484639735893,1.497104092770302,2.7753643318799903,0.8920726317490367,K,K_Ctrl-SIS3,Ctrl,SIS3
1,1.6329361970069582,1.580915621016797,1.9919383675552347,0.17503611679914668,K,K_Ctrl-Trametinib,Ctrl,Trametinib
2,1.6788527495001415,1.633213778542859,1.8844433451438358,0.2087951172927513,K,K_Ctrl-Trametinib,Ctrl,Trametinib
